Time,T1,T2,Q1,Q2
1506.01,30.566,40.492,0.0,60.0
1508.01,30.566,40.331,0.0,60.0
1510.0,30.566,40.428,0.0,60.0
1512.0,30.309,40.138,0.0,60.0
1514.01,30.438,40.202,0.0,60.0
1516.01,30.309,39.977,0.0,60.0
1518.0,30.244,40.009,0.0,60.0
1521.01,30.244,39.944,0.0,0.0
1524.0,30.244,39.912,0.0,0.0
1527.02,30.244,39.912,0.0,0.0
1530.01,30.18,39.912,0.0,0.0
1533.01,30.18,39.59,0.0,0.0
1536.0,29.922,39.59,0.0,0.0
1539.01,29.922,39.268,0.0,0.0
1542.0,29.922,39.106,0.0,0.0
1545.0,29.89,38.945,0.0,0.0
1548.01,29.922,38.623,0.0,0.0
1551.0,29.857,38.301,0.0,0.0
1554.0,29.632,38.043,0.0,0.0
1557.01,29.6,37.914,0.0,0.0
1560.0,29.6,37.656,0.0,0.0
1563.01,29.6,37.334,0.0,0.0
1566.0,29.471,37.012,0.0,0.0
1569.0,29.471,36.689,0.0,0.0
1572.01,29.277,36.399,0.0,0.0
1575.01,29.277,36.335,0.0,0.0
1578.01,29.277,36.045,0.0,0.0
1581.01,29.245,35.723,0.0,0.0
1584.0,29.148,35.4,0.0,0.0
1587.0,28.955,35.11,0.0,0.0
1590.01,28.955,34.981,0.0,0.0
1593.01,28.955,34.756,0.0,0.0
1596.0,28.955,34.434,0.0,0.0
1599.01,28.794,34.111,0.0,0.0
1602.0,28.697,33.854,0.0,0.0
1605.0,28.601,33.725,0.0,0.0
1608.01,28.633,33.467,0.0,0.0
1611.0,28.375,33.145,0.0,0.0
1614.0,28.311,32.951,0.0,0.0
1617.01,28.311,32.79,0.0,0.0
1620.01,28.311,32.5,0.0,0.0
1623.01,28.214,32.242,0.0,0.0
1626.0,27.988,32.049,0.0,0.0
1629.01,27.988,31.855,0.0,0.0
1632.0,27.924,31.533,0.0,0.0
1635.0,27.859,31.533,0.0,0.0
1638.0,27.827,31.211,0.0,0.0
1641.0,27.666,31.018,0.0,0.0
1644.01,27.666,30.889,0.0,0.0
1647.01,27.537,30.566,0.0,0.0
1650.0,27.634,30.534,0.0,0.0
1653.0,27.569,30.244,0.0,0.0
1656.01,27.344,30.212,0.0,0.0
1659.0,27.344,29.922,0.0,0.0
1662.0,27.247,29.825,0.0,0.0
1665.01,27.118,29.6,0.0,0.0
1668.01,27.021,29.535,0.0,0.0
1671.01,27.021,29.277,0.0,0.0
1674.0,26.957,29.116,0.0,0.0
1677.01,26.925,28.955,0.0,0.0
1680.0,26.796,28.794,0.0,0.0
1683.01,26.699,28.633,0.0,0.0
1686.0,26.699,28.633,0.0,0.0
1689.01,26.699,28.311,0.0,0.0
1692.0,26.699,28.311,0.0,0.0
1695.0,26.474,28.021,0.0,0.0
1698.01,26.377,27.988,0.0,0.0
1701.01,26.377,27.795,0.0,0.0
